Transaction_ID,Date,Category,Sub_Category,Amount,Payment_Mode,Merchant,City,Income_or_Expense
T00261,2024-07-15,Freelance,Project Payment,11497,Net Banking,Project Payment,Chennai,Income
T00262,2024-06-11,Transport,Uber,7405,Cash,Uber,Hyderabad,Expense
T00263,2024-10-27,Salary,Bonus,71381,UPI,Bonus,Mumbai,Income
T00264,2024-06-28,Entertainment,OTT Subscription,5966,Card,OTT Subscription,Hyderabad,Expense
T00265,2025-11-22,Food,Swiggy,9691,Net Banking,Swiggy,Delhi,Expense
T00266,2025-03-01,Shopping,Clothes,8297,Card,Clothes,Delhi,Expense
T00267,2024-11-03,Freelance,Project Payment,17819,UPI,Project Payment,Delhi,Income
T00268,2025-05-31,Investment,SIP,1329,Card,SIP,Chennai,Expense
T00269,2025-09-05,Freelance,Project Payment,44270,Cash,Project Payment,Hyderabad,Income
T00270,2024-12-30,Transport,Petrol,7135,Net Banking,Petrol,Bangalore,Expense
T00271,2025-11-22,Freelance,Consulting,21995,UPI,Consulting,Hyderabad,Income
T00272,2024-08-17,Investment,SIP,7008,UPI,SIP,Hyderabad,Expense
T00273,2024-04-29,Health,Pharmacy,6542,Card,Pharmacy,Bangalore,Expense
T00274,2024-03-19,Transport,Metro,9941,Card,Metro,Delhi,Expense
T00275,2025-08-26,Health,Medical,2991,Auto Debit,Medical,Hyderabad,Expense
T00276,2025-02-02,Investment,SIP,5702,UPI,SIP,Delhi,Expense
T00277,2025-08-18,Investment,Stocks,548,Card,Stocks,Hyderabad,Expense
T00278,2024-04-08,Bills,Internet,3310,Card,Internet,Delhi,Expense
T00279,2024-02-07,Transport,Uber,5392,UPI,Uber,Bangalore,Expense
T00280,2024-09-05,Salary,Monthly Salary,54201,Cash,Monthly Salary,Chennai,Income
T00281,2025-05-10,Investment,SIP,204,Auto Debit,SIP,Mumbai,Expense
T00282,2024-01-21,Investment,SIP,9648,Card,SIP,Mumbai,Expense
T00283,2024-05-05,Shopping,Flipkart,261,Cash,Flipkart,Hyderabad,Expense
T00284,2024-08-12,Food,Restaurant,386,Net Banking,Restaurant,Chennai,Expense
T00285,2024-02-28,Health,Pharmacy,3564,UPI,Pharmacy,Chennai,Expense
T00286,2024-01-04,Freelance,Project Payment,24844,Net Banking,Project Payment,Hyderabad,Income
T00287,2024-04-05,Freelance,Project Payment,42503,Cash,Project Payment,Hyderabad,Income
T00288,2024-07-23,Freelance,Project Payment,67747,Auto Debit,Project Payment,Bangalore,Income
T00289,2025-12-19,Investment,SIP,5876,Card,SIP,Hyderabad,Expense
T00290,2024-01-14,Transport,Metro,8765,Auto Debit,Metro,Delhi,Expense
T00291,2025-02-11,Freelance,Consulting,73780,Net Banking,Consulting,Chennai,Income
T00292,2024-08-15,Salary,Monthly Salary,71466,UPI,Monthly Salary,Delhi,Income
T00293,2025-08-06,Bills,Electricity,118,UPI,Electricity,Bangalore,Expense
T00294,2024-09-14,Salary,Bonus,20605,Card,Bonus,Hyderabad,Income
T00295,2024-07-08,Health,Medical,4506,UPI,Medical,Delhi,Expense
T00296,2025-12-18,Salary,Bonus,73362,Cash,Bonus,Delhi,Income
T00297,2025-09-29,Health,Pharmacy,5494,Cash,Pharmacy,Chennai,Expense
T00298,2025-10-27,Entertainment,Movie,213,Net Banking,Movie,Mumbai,Expense
T00299,2025-07-04,Shopping,Clothes,4812,Net Banking,Clothes,Delhi,Expense
T00300,2025-08-31,Transport,Metro,5303,Auto Debit,Metro,Delhi,Expense
T00301,2025-12-23,Freelance,Consulting,28099,Card,Consulting,Mumbai,Income
T00302,2025-01-04,Investment,SIP,7199,Card,SIP,Hyderabad,Expense
T00303,2024-12-10,Investment,Stocks,6313,UPI,Stocks,Bangalore,Expense
T00304,2025-08-15,Investment,SIP,3515,Auto Debit,SIP,Delhi,Expense
T00305,2024-12-29,Food,Swiggy,8223,Net Banking,Swiggy,Mumbai,Expense
T00306,2024-08-09,Transport,Uber,8118,Card,Uber,Hyderabad,Expense
T00307,2025-10-08,Bills,Internet,153,Net Banking,Internet,Chennai,Expense
T00308,2024-01-09,Transport,Petrol,7756,UPI,Petrol,Mumbai,Expense
T00309,2024-01-08,Entertainment,Movie,9032,Auto Debit,Movie,Hyderabad,Expense
T00310,2025-10-07,Shopping,Amazon,7768,Auto Debit,Amazon,Mumbai,Expense
T00311,2024-03-24,Transport,Uber,7364,Auto Debit,Uber,Chennai,Expense
T00312,2025-05-30,Shopping,Flipkart,7615,Card,Flipkart,Delhi,Expense
T00313,2024-05-22,Bills,Electricity,2604,Auto Debit,Electricity,Bangalore,Expense
T00314,2024-02-29,Investment,SIP,418,Auto Debit,SIP,Hyderabad,Expense
T00315,2024-07-12,Freelance,Project Payment,76569,Card,Project Payment,Hyderabad,Income
T00316,2024-01-09,Investment,SIP,5442,UPI,SIP,Delhi,Expense
T00317,2025-05-11,Transport,Uber,9896,Net Banking,Uber,Chennai,Expense
T00318,2024-07-07,Food,Zomato,3953,Cash,Zomato,Mumbai,Expense
T00319,2024-05-13,Food,Groceries,9137,Auto Debit,Groceries,Bangalore,Expense
T00320,2025-07-23,Food,Swiggy,4735,UPI,Swiggy,Mumbai,Expense
T00321,2025-07-24,Entertainment,Movie,1284,Cash,Movie,Hyderabad,Expense
T00322,2024-09-15,Transport,Petrol,4659,Auto Debit,Petrol,Bangalore,Expense
